"dag";"benaming";"kleur"
"29-11-2015";"1e Zondag van Advent";"Paars"
"6-12-2015";"2e Zondag van Advent";"Paars"
"13-12-2015";"3e Zondag van Advent (Gaudete)";"Roze"
"20-12-2015";"4e Zondag van Advent";"Paars"
"25-12-2015";"Kerstmis";"Wit"
"27-12-2015";"1e Zondag na Kerst";"Wit"
"3-1-2016";"2e Zondag na Kerst";"Wit"
"10-1-2016";"1e Zondag na Epifanie";"Groen"
"17-1-2016";"2e Zondag na Epifanie";"Groen"
"24-1-2016";"3e Zondag na Epifanie";"Groen"
"31-1-2016";"4e Zondag na Epifanie";"Groen"
"7-2-2016";"5e Zondag na Epifanie";"Groen"
"14-2-2016";"Invocabit";"Paars"
"21-2-2016";"Reminiscere";"Paars"
"28-2-2016";"Oculi";"Paars"
"6-3-2016";"Laetare";"Roze"
"13-3-2016";"Judica";"Paars"
"20-3-2016";"Palmarum";"Paars"
"24-3-2016";"Witte Donderdag";"Wit"
"25-3-2016";"Goede Vrijdag";"Zwart"
"26-3-2016";"Stille Zaterdag";"Paars"
"27-3-2016";"Pasen";"Wit"
"3-4-2016";"Quasimodo Geniti";"Wit"
"10-4-2016";"Misericordias Domini";"Wit"
"17-4-2016";"Jubilate";"Wit"
"24-4-2016";"Cantate";"Wit"
"1-5-2016";"Rogate";"Wit"
"5-5-2016";"Hemelvaart";"Wit"
"8-5-2016";"Exaudi";"Wit"
"15-5-2016";"Pinksteren";"Rood"
"22-5-2016";"Trinitatis";"Wit"
"29-5-2016";" 1e Zondag na Trinitatis";"Groen"
"5-6-2016";" 2e Zondag na Trinitatis";"Groen"
"12-6-2016";" 3e Zondag na Trinitatis";"Groen"
"19-6-2016";" 4e Zondag na Trinitatis";"Groen"
"26-6-2016";" 5e Zondag na Trinitatis";"Groen"
"3-7-2016";" 6e Zondag na Trinitatis";"Groen"
"10-7-2016";" 7e Zondag na Trinitatis";"Groen"
"17-7-2016";" 8e Zondag na Trinitatis";"Groen"
"24-7-2016";" 9e Zondag na Trinitatis";"Groen"
"31-7-2016";"10e Zondag na Trinitatis";"Groen"
"7-8-2016";"11e Zondag na Trinitatis";"Groen"
"14-8-2016";"12e Zondag na Trinitatis";"Groen"
"21-8-2016";"13e Zondag na Trinitatis";"Groen"
"28-8-2016";"14e Zondag na Trinitatis";"Groen"
"4-9-2016";"15e Zondag na Trinitatis";"Groen"
"11-9-2016";"16e Zondag na Trinitatis";"Groen"
"18-9-2016";"17e Zondag na Trinitatis";"Groen"
"25-9-2016";"18e Zondag na Trinitatis";"Groen"
"2-10-2016";"19e Zondag na Trinitatis";"Groen"
"9-10-2016";"20e Zondag na Trinitatis";"Groen"
"16-10-2016";"21e Zondag na Trinitatis";"Groen"
"23-10-2016";"22e Zondag na Trinitatis";"Groen"
"30-10-2016";"23e Zondag na Trinitatis";"Groen"
"6-11-2016";"24e Zondag na Trinitatis";"Groen"
"13-11-2016";"25e Zondag na Trinitatis";"Groen"
"20-11-2016";"26e Zondag na Trinitatis";"Groen"
